"Var1","Var2","r","se","p"
"AsqMotor_3yr","AsqMotor_18mo","0.208","0.0042","0.00e+00"
"CbclExter_3yr","AsqMotor_18mo","0.02","0.0044","0.00e+00"
"CbclInter_3yr","AsqMotor_18mo","0.055","0.0044","0.00e+00"
"CfqPress_3yr","AsqMotor_18mo","0.014","0.0044","0.00e+00"
"CfqRestr_3yr","AsqMotor_18mo","0.005","0.0044","0.00e+00"
"EasActiv_3yr","AsqMotor_18mo","0.031","0.0044","0.00e+00"
"EasEmoti_3yr","AsqMotor_18mo","0.019","0.0044","0.00e+00"
"EasShyne_3yr","AsqMotor_18mo","0.019","0.0044","0.00e+00"
"EasSocia_3yr","AsqMotor_18mo","0.016","0.0044","0.00e+00"
"ItseaCompe_3yr","AsqMotor_18mo","0.068","0.0044","0.00e+00"
"ItseaDysre_3yr","AsqMotor_18mo","0.02","0.0044","0.00e+00"
"ItseaExter_3yr","AsqMotor_18mo","0.026","0.0044","0.00e+00"
"ItseaInter_3yr","AsqMotor_18mo","0.049","0.0044","0.00e+00"
"ScqRestr_3yr","AsqMotor_18mo","0.001","0.0044","0.00e+00"
"ScqSocia_3yr","AsqMotor_18mo","0.162","0.0043","0.00e+00"
"SdqProso_3yr","AsqMotor_18mo","0.09","0.0043","0.00e+00"
"AsqLangu_5yr","AsqMotor_18mo","0.201","0.005","0.00e+00"
"AsqMotor_5yr","AsqMotor_18mo","0.268","0.0049","0.00e+00"
"CastFull_5yr","AsqMotor_18mo","0.128","0.0086","0.00e+00"
"CbclExter_5yr","AsqMotor_18mo","0.029","0.0052","0.00e+00"
"CbclInter_5yr","AsqMotor_18mo","0.055","0.0052","0.00e+00"
"CccCoher_5yr","AsqMotor_18mo","0.057","0.0052","0.00e+00"
"CprsrsFull_5yr","AsqMotor_18mo","0.055","0.0052","0.00e+00"
"EasActiv_5yr","AsqMotor_18mo","0.005","0.0052","0.00e+00"
"EasEmoti_5yr","AsqMotor_18mo","0.016","0.0052","0.00e+00"
"EasShyne_5yr","AsqMotor_18mo","0.02","0.0052","0.00e+00"
"EasSocia_5yr","AsqMotor_18mo","0.017","0.0052","0.00e+00"
"SlasFull_5yr","AsqMotor_18mo","0.286","0.0095","0.00e+00"
"SprakExpre_5yr","AsqMotor_18mo","0.071","0.0057","0.00e+00"
"SprakRecep_5yr","AsqMotor_18mo","0.073","0.0057","0.00e+00"
"SprakSeman_5yr","AsqMotor_18mo","0.076","0.0057","0.00e+00"
"CccCoher_8yr","AsqMotor_18mo","0.119","0.006","0.00e+00"
"CebqFull_8yr","AsqMotor_18mo","0.007","0.0051","0.00e+00"
"NhpicBenev_8yr","AsqMotor_18mo","0.014","0.0051","0.00e+00"
"NhpicConsc_8yr","AsqMotor_18mo","0.035","0.0051","0.00e+00"
"RsdbdAdhd_8yr","AsqMotor_18mo","0.037","0.0051","0.00e+00"
"RsdbdCondu_8yr","AsqMotor_18mo","0.014","0.0051","0.00e+00"
"RsdbdHyper_8yr","AsqMotor_18mo","0.026","0.0051","0.00e+00"
"RsdbdInatt_8yr","AsqMotor_18mo","0.069","0.0051","0.00e+00"
"RsdbdOdd_8yr","AsqMotor_18mo","0.022","0.0051","0.00e+00"
"ScaredFull_8yr","AsqMotor_18mo","0.047","0.0051","0.00e+00"
"ScqRestr_8yr","AsqMotor_18mo","0.12","0.0054","0.00e+00"
"ScqSocia_8yr","AsqMotor_18mo","0.008","0.0055","0.00e+00"
"SmfqFull_8yr","AsqMotor_18mo","0.033","0.0051","0.00e+00"
"SpinFull_8yr","AsqMotor_18mo","0.049","0.0052","0.00e+00"
"SprakSeman_8yr","AsqMotor_18mo","0.068","0.0067","0.00e+00"
